Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
418,CORO STREETS-69,CORO STREETS,MURRAY'S HILL ROAD,COROMANDEL VALLEY · FLAGSTAFF HILL,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
419,BLACKWOOD MAIN-291,BLACKWOOD MAIN,MURRAYS HILL ROAD,COROMANDEL VALLEY,MURRAYS HILL ROAD,COROMANDEL VALLEY,MURRAYS HILL ROAD|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Grey fallback,"1 MURRAYS HILL ROAD, COROMANDEL VALLEY SA | 2 MURRAYS HILL ROAD, COROMANDEL VALLEY SA | MURRAYS HILL ROAD, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
425,BLACKWOOD MAIN-296,BLACKWOOD MAIN,NARDU CRESCENT,BELAIR,NARDU CRESCENT,BELAIR,NARDU CRESCENT|BELAIR,No,Failed,Failed,Grey fallback,"1 NARDU CRESCENT, BELAIR SA | 2 NARDU CRESCENT, BELAIR SA | NARDU CRESCENT, BELAIR SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
427,BLACKWOOD MAIN-298,BLACKWOOD MAIN,NERLI STREET,EDEN HILLS,NERLI STREET,EDEN HILLS,NERLI STREET|EDEN HILLS,No,Failed,Failed,Grey fallback,"1 NERLI STREET, EDEN HILLS SA | 2 NERLI STREET, EDEN HILLS SA | NERLI STREET, EDEN HILLS SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
429,BLACKWOOD PARK-40,BLACKWOOD PARK,NEWLAND COURT,CRAIGBURN FARM,NEWLAND COURT,CRAIGBURN FARM,NEWLAND COURT|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 NEWLAND COURT, CRAIGBURN FARM SA | 2 NEWLAND COURT, CRAIGBURN FARM SA | NEWLAND COURT, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
430,BLACKWOOD MAIN-299,BLACKWOOD MAIN,NICOLE AVENUE,HAWTHORNDENE,NICOLE AVENUE,HAWTHORNDENE,NICOLE AVENUE|HAWTHORNDENE,No,Failed,Failed,Grey fallback,"1 NICOLE AVENUE, HAWTHORNDENE SA | 2 NICOLE AVENUE, HAWTHORNDENE SA | NICOLE AVENUE, HAWTHORNDENE SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
435,BLACKWOOD MAIN-302,BLACKWOOD MAIN,NORTHCOTE STREET,EDEN HILLS,NORTHCOTE STREET,EDEN HILLS,NORTHCOTE STREET|EDEN HILLS,No,Failed,Failed,Grey fallback,"1 NORTHCOTE STREET, EDEN HILLS SA | 2 NORTHCOTE STREET, EDEN HILLS SA | NORTHCOTE STREET, EDEN HILLS SA",,,,,,No,No. 1: returned suburb/locality does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
438,BLACKWOOD MAIN-305,BLACKWOOD MAIN,OAK CRESCENT,HAWTHORNDENE,OAK CRESCENT,HAWTHORNDENE,OAK CRESCENT|HAWTHORNDENE,No,Ambiguous,Ambiguous,Grey fallback,"1 OAK CRESCENT, HAWTHORNDENE SA | 2 OAK CRESCENT, HAWTHORNDENE SA | OAK CRESCENT, HAWTHORNDENE SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
439,CORO STREETS-74,CORO STREETS,OAKDENE CRESCENT,COROMANDEL VALLEY,OAKDENE CRESCENT,COROMANDEL VALLEY,OAKDENE CRESCENT|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Grey fallback,"1 OAKDENE CRESCENT, COROMANDEL VALLEY SA | 2 OAKDENE CRESCENT, COROMANDEL VALLEY SA | OAKDENE CRESCENT, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
441,BLACKWOOD MAIN-307,BLACKWOOD MAIN,OFFLER AVENUE,BELLEVUE HEIGHTS,OFFLER AVENUE,BELLEVUE HEIGHTS,OFFLER AVENUE|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Grey fallback,"1 OFFLER AVENUE, BELLEVUE HEIGHTS SA | 2 OFFLER AVENUE, BELLEVUE HEIGHTS SA | OFFLER AVENUE, BELLEVUE HEIGHTS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
442,BLACKWOOD MAIN-308,BLACKWOOD MAIN,OLAVE HILL ROAD,HAWTHORNDENE · UPPER STURT,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
443,BLACKWOOD MAIN-309,BLACKWOOD MAIN,OLD BELAIR ROAD,BELAIR · MITCHAM,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
445,CORO EAST & CHERRY-21,CORO EAST & CHERRY,ORCHARD ROAD,CHERRY GARDENS,ORCHARD ROAD,CHERRY GARDENS,ORCHARD ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Grey fallback,"1 ORCHARD ROAD, CHERRY GARDENS SA | 2 ORCHARD ROAD, CHERRY GARDENS SA | ORCHARD ROAD, CHERRY GARDENS SA",,,,,,No,street-only: 5 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
458,BLACKWOOD MAIN-320,BLACKWOOD MAIN,PEKINA STREET,EDEN HILLS,PEKINA STREET,EDEN HILLS,PEKINA STREET|EDEN HILLS,No,Ambiguous,Ambiguous,Grey fallback,"1 PEKINA STREET, EDEN HILLS SA | 2 PEKINA STREET, EDEN HILLS SA | PEKINA STREET, EDEN HILLS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
459,BLACKWOOD MAIN-321,BLACKWOOD MAIN,PENDELBURY WAY,BELLEVUE HEIGHTS,PENDELBURY WAY,BELLEVUE HEIGHTS,PENDELBURY WAY|BELLEVUE HEIGHTS,No,Failed,Failed,Grey fallback,"1 PENDELBURY WAY, BELLEVUE HEIGHTS SA | 2 PENDELBURY WAY, BELLEVUE HEIGHTS SA | PENDELBURY WAY, BELLEVUE HEIGHTS SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
