Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
249,BLACKWOOD MAIN-176,BLACKWOOD MAIN,GOLDNEY GROVE,HAWTHORNDENE,GOLDNEY GROVE,HAWTHORNDENE,GOLDNEY GROVE|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 GOLDNEY GROVE, HAWTHORNDENE SA","1 GOLDNEY GROVE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01918851139765,138.63908136822798,No,,
250,CORO STREETS-37,CORO STREETS,GOLDSACK AVENUE,COROMANDEL VALLEY,GOLDSACK AVENUE,COROMANDEL VALLEY,GOLDSACK AVENUE|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 GOLDSACK AVENUE, COROMANDEL VALLEY SA","1 GOLDSACK AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04946252914428,138.61503427728056,No,,
251,BLACKWOOD MAIN-177,BLACKWOOD MAIN,GOOCH COURT,BELAIR,GOOCH COURT,BELAIR,GOOCH COURT|BELAIR,No,Accepted,Accepted,Active,"2 GOOCH COURT, BELAIR SA","2 GOOCH COURT, BELAIR, SOUTH AUSTRALIA, 5052",No. 2,100,-34.99965298501237,138.62402022806697,No,,
253,BLACKWOOD PARK-27,BLACKWOOD PARK,GOODE AVENUE,CRAIGBURN FARM,GOODE AVENUE,CRAIGBURN FARM,GOODE AVENUE|CRAIGBURN FARM,No,Accepted,Accepted,Active,"1 GOODE AVENUE, CRAIGBURN FARM SA","1 GOODE AVENUE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.041251986840145,138.60988196453033,No,,
254,BLACKWOOD MAIN-179,BLACKWOOD MAIN,GORDON AVENUE,BELAIR,GORDON AVENUE,BELAIR,GORDON AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 GORDON AVENUE, BELAIR SA","1 GORDON AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00248618778727,138.62776652369325,No,,
255,BLACKWOOD MAIN-180,BLACKWOOD MAIN,GORGE ROAD,BELLEVUE HEIGHTS,GORGE ROAD,BELLEVUE HEIGHTS,GORGE ROAD|BELLEVUE HEIGHTS,No,Accepted,Accepted,Active,"1 GORGE ROAD, BELLEVUE HEIGHTS SA","1 GORGE ROAD, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.03248110117313,138.58944793200956,No,,
256,BLACKWOOD MAIN-181,BLACKWOOD MAIN,GORSE AVENUE,HAWTHORNDENE,GORSE AVENUE,HAWTHORNDENE,GORSE AVENUE|HAWTHORNDENE,No,Accepted,Accepted (preserved validated),Active,"2 Gorse Avenue, Hawthorndene SA","2 GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 2,100,-35.023253935910596,138.62679988692054,No,,
257,CORO STREETS-38,CORO STREETS,GOSS ROAD,ABERFOYLE PARK,GOSS ROAD,ABERFOYLE PARK,GOSS ROAD|ABERFOYLE PARK,No,Accepted,Accepted,Active,"2 GOSS ROAD, ABERFOYLE PARK SA","2 GOSS ROAD, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",No. 2,100,-35.06049453369571,138.6150024355466,No,,
258,BLACKWOOD MAIN-182,BLACKWOOD MAIN,GOTHIC ROAD,BELLEVUE HEIGHTS,GOTHIC ROAD,BELLEVUE HEIGHTS,GOTHIC ROAD|BELLEVUE HEIGHTS,No,Accepted,Accepted,Active,"2 GOTHIC ROAD, BELLEVUE HEIGHTS SA","2 GOTHIC ROAD, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 2,100,-35.02926988898676,138.59284877150543,No,,
260,BLACKWOOD PARK-28,BLACKWOOD PARK,GRAND BOULEVARD,CRAIGBURN FARM,GRAND BOULEVARD,CRAIGBURN FARM,GRAND BOULEVARD|CRAIGBURN FARM,No,Accepted,Accepted,Active,"2 GRAND BOULEVARD, CRAIGBURN FARM SA","2 GRAND BOULEVARD, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 2,100,-35.03826775818746,138.61914968797922,No,,
262,BLACKWOOD PARK-29,BLACKWOOD PARK,GRASS LILY STREET,CRAIGBURN FARM,GRASS LILY STREET,CRAIGBURN FARM,GRASS LILY STREET|CRAIGBURN FARM,No,Accepted,Accepted,Active,"1 GRASS LILY STREET, CRAIGBURN FARM SA","1 GRASS LILY STREET, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.0395743366003,138.6163881735774,No,,
