Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
316,CORO STREETS-50,CORO STREETS,JACKSON AVENUE,COROMANDEL VALLEY,JACKSON AVENUE,COROMANDEL VALLEY,JACKSON AVENUE|COROMANDEL VALLEY,Yes,Accepted,Accepted,Active,"1 JACKSON AVENUE, COROMANDEL VALLEY SA","1 JACKSON AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03844742383715,138.62034401983274,No,,
318,BLACKWOOD MAIN-220,BLACKWOOD MAIN,JAMES ROAD,BELAIR,JAMES ROAD,BELAIR,JAMES ROAD|BELAIR,No,Accepted,Accepted,Active,"2 JAMES ROAD, BELAIR SA","2 JAMES ROAD, BELAIR, SOUTH AUSTRALIA, 5052",No. 2,100,-34.99664545319125,138.6307084152919,No,,
319,BLACKWOOD MAIN-221,BLACKWOOD MAIN,JANE COURT,BLACKWOOD,JANE COURT,BLACKWOOD,JANE COURT|BLACKWOOD,No,Accepted,Accepted,Active,"1 JANE COURT, BLACKWOOD SA","1 JANE COURT, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02720231092104,138.621668209037,No,,
320,BLACKWOOD MAIN-222,BLACKWOOD MAIN,JANSEN COURT,TORRENS PARK,JANSEN COURT,TORRENS PARK,JANSEN COURT|TORRENS PARK,No,Accepted,Accepted,Active,"1 JANSEN COURT, TORRENS PARK SA","1 JANSEN COURT, TORRENS PARK, SOUTH AUSTRALIA, 5062",No. 1,100,-34.9957145716617,138.61233858098802,No,,
321,BLACKWOOD MAIN-223,BLACKWOOD MAIN,JENNIFER AVENUE,BELLEVUE HEIGHTS,JENNIFER AVENUE,BELLEVUE HEIGHTS,JENNIFER AVENUE|BELLEVUE HEIGHTS,No,Accepted,Accepted,Active,"2 JENNIFER AVENUE, BELLEVUE HEIGHTS SA","2 JENNIFER AVENUE, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 2,100,-35.033918604257444,138.57541515533455,No,,
322,CORO STREETS-51,CORO STREETS,JINGARA WAY,COROMANDEL VALLEY,JINGARA WAY,COROMANDEL VALLEY,JINGARA WAY|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"2 JINGARA WAY, COROMANDEL VALLEY SA","2 JINGARA WAY, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.04862130255281,138.61815619030244,No,,
323,BLACKWOOD MAIN-224,BLACKWOOD MAIN,JOHN AVENUE,GLENALTA,JOHN AVENUE,GLENALTA,JOHN AVENUE|GLENALTA,No,Accepted,Accepted,Active,"1 JOHN AVENUE, GLENALTA SA","1 JOHN AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.014639234838036,138.63049388383297,No,,
324,BLACKWOOD MAIN-225,BLACKWOOD MAIN,JOHN FISHER DRIVE,TORRENS PARK,JOHN FISHER DRIVE,TORRENS PARK,JOHN FISHER DRIVE|TORRENS PARK,No,Accepted,Accepted,Active,"1 JOHN FISHER DRIVE, TORRENS PARK SA","1 JOHN FISHER DRIVE, TORRENS PARK, SOUTH AUSTRALIA, 5062",No. 1,100,-34.99363934446437,138.6126322720649,No,,
327,BLACKWOOD MAIN-228,BLACKWOOD MAIN,KALYRA ROAD,BELAIR,KALYRA ROAD,BELAIR,KALYRA ROAD|BELAIR,No,Accepted,Accepted,Active,"1 KALYRA ROAD, BELAIR SA","1 KALYRA ROAD, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.003343957849445,138.6144812272757,No,,
328,BLACKWOOD PARK-36,BLACKWOOD PARK,KAUFMANN PLACE,CRAIGBURN FARM,KAUFMANN PLACE,CRAIGBURN FARM,KAUFMANN PLACE|CRAIGBURN FARM,No,Accepted,Accepted,Active,"1 KAUFMANN PLACE, CRAIGBURN FARM SA","1 KAUFMANN PLACE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03455348218195,138.6118107909062,No,,
329,BLACKWOOD MAIN-229,BLACKWOOD MAIN,KAURI ROAD,HAWTHORNDENE,KAURI ROAD,HAWTHORNDENE,KAURI ROAD|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 KAURI ROAD, HAWTHORNDENE SA","1 KAURI ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01739007603293,138.62825357770203,No,,
330,BLACKWOOD MAIN-230,BLACKWOOD MAIN,KAYS ROAD,TORRENS PARK,KAYS ROAD,TORRENS PARK,KAYS ROAD|TORRENS PARK,No,Accepted,Accepted,Active,"1 KAYS ROAD, TORRENS PARK SA","1 KAYS ROAD, TORRENS PARK, SOUTH AUSTRALIA, 5062",No. 1,100,-34.989535140633,138.61106597895048,No,,
331,BLACKWOOD MAIN-231,BLACKWOOD MAIN,KEITH ROAD,BLACKWOOD,KEITH ROAD,BLACKWOOD,KEITH ROAD|BLACKWOOD,No,Accepted,Accepted (preserved validated),Active,"1 Keith Road, Blackwood SA","1 KEITH ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02584040971901,138.619550289012,No,,
333,CORO STREETS-52,CORO STREETS,KERRY STREET,COROMANDEL VALLEY,KERRY STREET,COROMANDEL VALLEY,KERRY STREET|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 KERRY STREET, COROMANDEL VALLEY SA","1 KERRY STREET, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.05261379348517,138.61272939824778,No,,
334,CORO STREETS-53,CORO STREETS,KESTREL PLACE,COROMANDEL VALLEY,KESTREL PLACE,COROMANDEL VALLEY,KESTREL PLACE|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 KESTREL PLACE, COROMANDEL VALLEY SA","1 KESTREL PLACE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04249043461556,138.62721685353725,No,,
335,BLACKWOOD MAIN-233,BLACKWOOD MAIN,KINDERGARTEN AVENUE,HAWTHORNDENE,KINDERGARTEN AVENUE,HAWTHORNDENE,KINDERGARTEN AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 KINDERGARTEN AVENUE, HAWTHORNDENE SA","1 KINDERGARTEN AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01971665725303,138.63500829458337,No,,
336,BLACKWOOD MAIN-234,BLACKWOOD MAIN,KINEDANA STREET,EDEN HILLS,KINEDANA STREET,EDEN HILLS,KINEDANA STREET|EDEN HILLS,No,Accepted,Accepted,Active,"1 KINEDANA STREET, EDEN HILLS SA","1 KINEDANA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.01760389594473,138.57894638584156,No,,
338,BLACKWOOD MAIN-236,BLACKWOOD MAIN,KIRAWINA GROVE,GLENALTA,KIRAWINA GROVE,GLENALTA,KIRAWINA GROVE|GLENALTA,No,Accepted,Accepted,Active,"1 KIRAWINA GROVE, GLENALTA SA","1 KIRAWINA GROVE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00770734272202,138.63290033621817,No,,
339,BLACKWOOD MAIN-237,BLACKWOOD MAIN,KOOKABURRA CRESCENT,HAWTHORNDENE,KOOKABURRA CRESCENT,HAWTHORNDENE,KOOKABURRA CRESCENT|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 KOOKABURRA CRESCENT, HAWTHORNDENE SA","1 KOOKABURRA CRESCENT, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.016525902046595,138.63709988736466,No,,
340,BLACKWOOD MAIN-238,BLACKWOOD MAIN,KOOKABURRA PLACE,BELAIR,KOOKABURRA PLACE,BELAIR,KOOKABURRA PLACE|BELAIR,No,Accepted,Accepted,Active,"2 KOOKABURRA PLACE, BELAIR SA","2 KOOKABURRA PLACE, BELAIR, SOUTH AUSTRALIA, 5052",No. 2,100,-35.00901943562511,138.61104143057457,No,,
341,BLACKWOOD MAIN-239,BLACKWOOD MAIN,KOORINGA STREET,EDEN HILLS,KOORINGA STREET,EDEN HILLS,KOORINGA STREET|EDEN HILLS,No,Accepted,Accepted,Active,"1 KOORINGA STREET, EDEN HILLS SA","1 KOORINGA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02228943377927,138.60167711460312,No,,
342,CORO STREETS-54,CORO STREETS,KRISTEN COURT,COROMANDEL VALLEY,KRISTEN COURT,COROMANDEL VALLEY,KRISTEN COURT|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 KRISTEN COURT, COROMANDEL VALLEY SA","1 KRISTEN COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.050267111058695,138.61887556444836,No,,
348,BLACKWOOD MAIN-243,BLACKWOOD MAIN,LANDSDOWNE AVENUE,BELAIR,LANDSDOWNE AVENUE,BELAIR,LANDSDOWNE AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 LANDSDOWNE AVENUE, BELAIR SA","1 LANDSDOWNE AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00220975172823,138.6262429234065,No,,
349,BLACKWOOD MAIN-244,BLACKWOOD MAIN,LANGMAN COURT,BELAIR,LANGMAN COURT,BELAIR,LANGMAN COURT|BELAIR,No,Accepted,Accepted,Active,"1 LANGMAN COURT, BELAIR SA","1 LANGMAN COURT, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.99544115967797,138.63663951637318,No,,
350,BLACKWOOD PARK-37,BLACKWOOD PARK,LASLETT COURT,CRAIGBURN FARM,LASLETT COURT,CRAIGBURN FARM,LASLETT COURT|CRAIGBURN FARM,No,Accepted,Accepted,Active,"1 LASLETT COURT, CRAIGBURN FARM SA","1 LASLETT COURT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.034213006881444,138.61108056566658,No,,
351,BLACKWOOD MAIN-245,BLACKWOOD MAIN,LEE STREET,EDEN HILLS,LEE STREET,EDEN HILLS,LEE STREET|EDEN HILLS,No,Accepted,Accepted,Active,"1 LEE STREET, EDEN HILLS SA","1 LEE STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02078504526498,138.6063519792308,No,,
352,CORO STREETS-55,CORO STREETS,LENNON LODGE LANE,COROMANDEL VALLEY,LENNON LODGE LANE,COROMANDEL VALLEY,LENNON LODGE LANE|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"2 LENNON LODGE LANE, COROMANDEL VALLEY SA","2 LENNON LODGE LANE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.04180450318465,138.6271851896901,No,,
354,CORO STREETS-56,CORO STREETS,LIGHT ROAD,COROMANDEL VALLEY,LIGHT ROAD,COROMANDEL VALLEY,LIGHT ROAD|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 LIGHT ROAD, COROMANDEL VALLEY SA","1 LIGHT ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.047800532941245,138.61454544440394,No,,
355,BLACKWOOD MAIN-246,BLACKWOOD MAIN,LIMPSFIELD AVENUE,HAWTHORNDENE,LIMPSFIELD AVENUE,HAWTHORNDENE,LIMPSFIELD AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 LIMPSFIELD AVENUE, HAWTHORNDENE SA","1 LIMPSFIELD AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.021702229512336,138.63297095727057,No,,
357,BLACKWOOD MAIN-248,BLACKWOOD MAIN,LINDSAY TERRACE,BELAIR,LINDSAY TERRACE,BELAIR,LINDSAY TERRACE|BELAIR,No,Accepted,Accepted,Active,"1 LINDSAY TERRACE, BELAIR SA","1 LINDSAY TERRACE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.99863618416719,138.6313628607624,No,,
358,BLACKWOOD MAIN-249,BLACKWOOD MAIN,LINFIELD AVENUE,BELAIR,LINFIELD AVENUE,BELAIR,LINFIELD AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 LINFIELD AVENUE, BELAIR SA","1 LINFIELD AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.000786479586466,138.6301256581945,No,,
359,BLACKWOOD MAIN-250,BLACKWOOD MAIN,LINKAGE GROVE,GLENALTA,LINKAGE GROVE,GLENALTA,LINKAGE GROVE|GLENALTA,No,Accepted,Accepted,Active,"1 LINKAGE GROVE, GLENALTA SA","1 LINKAGE GROVE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00859819972563,138.6296270415449,No,,
360,BLACKWOOD MAIN-251,BLACKWOOD MAIN,LISBURNE AVENUE,MITCHAM,LISBURNE AVENUE,MITCHAM,LISBURNE AVENUE|MITCHAM,No,Accepted,Accepted,Active,"2 LISBURNE AVENUE, MITCHAM SA","2 LISBURNE AVENUE, MITCHAM, SOUTH AUSTRALIA, 5062",No. 2,100,-34.983783883088265,138.622129825236,No,,
363,CORO STREETS-57,CORO STREETS,LOTUS DRIVE,ABERFOYLE PARK,LOTUS DRIVE,ABERFOYLE PARK,LOTUS DRIVE|ABERFOYLE PARK,No,Accepted,Accepted,Active,"1 LOTUS DRIVE, ABERFOYLE PARK SA","1 LOTUS DRIVE, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",No. 1,100,-35.058782373420165,138.61537759876956,No,,
364,BLACKWOOD MAIN-254,BLACKWOOD MAIN,LOUIS AVENUE,HAWTHORNDENE,LOUIS AVENUE,HAWTHORNDENE,LOUIS AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Active,"2 LOUIS AVENUE, HAWTHORNDENE SA","2 LOUIS AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 2,100,-35.024454315914674,138.63233305527075,No,,
365,BLACKWOOD MAIN-255,BLACKWOOD MAIN,LOWAN AVENUE,GLENALTA,LOWAN AVENUE,GLENALTA,LOWAN AVENUE|GLENALTA,No,Accepted,Accepted,Active,"1 LOWAN AVENUE, GLENALTA SA","1 LOWAN AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.01171868965325,138.63067052540737,No,,
366,CORO STREETS-58,CORO STREETS,LYRIC PLACE,COROMANDEL VALLEY,LYRIC PLACE,COROMANDEL VALLEY,LYRIC PLACE|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 LYRIC PLACE, COROMANDEL VALLEY SA","1 LYRIC PLACE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.05440013254874,138.6155106580824,No,,
367,CORO STREETS-60,CORO STREETS,MAGAREY ROAD,COROMANDEL VALLEY,MAGAREY ROAD,COROMANDEL VALLEY,MAGAREY ROAD|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 MAGAREY ROAD, COROMANDEL VALLEY SA","1 MAGAREY ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03485855801286,138.62528553674645,No,,
374,BLACKWOOD MAIN-261,BLACKWOOD MAIN,MANDALAY AVENUE,GLENALTA,MANDALAY AVENUE,GLENALTA,MANDALAY AVENUE|GLENALTA,No,Accepted,Accepted,Active,"1 MANDALAY AVENUE, GLENALTA SA","1 MANDALAY AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.007019988196866,138.63240901292662,No,,
375,BLACKWOOD MAIN-262,BLACKWOOD MAIN,MANSON AVENUE,EDEN HILLS,MANSON AVENUE,EDEN HILLS,MANSON AVENUE|EDEN HILLS,No,Accepted,Accepted,Active,"2 MANSON AVENUE, EDEN HILLS SA","2 MANSON AVENUE, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 2,100,-35.028763623205535,138.59527016638032,No,,
376,BLACKWOOD MAIN-263,BLACKWOOD MAIN,MAPLE ROAD,HAWTHORNDENE,MAPLE ROAD,HAWTHORNDENE,MAPLE ROAD|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 MAPLE ROAD, HAWTHORNDENE SA","1 MAPLE ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02125715678405,138.6296731142214,No,,
377,BLACKWOOD MAIN-264,BLACKWOOD MAIN,MARGARET AVENUE,GLENALTA,MARGARET AVENUE,GLENALTA,MARGARET AVENUE|GLENALTA,No,Accepted,Accepted,Active,"1 MARGARET AVENUE, GLENALTA SA","1 MARGARET AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.01587786050025,138.63237165670242,No,,
378,BLACKWOOD MAIN-265,BLACKWOOD MAIN,MARINA AVENUE,BELAIR,MARINA AVENUE,BELAIR,MARINA AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 MARINA AVENUE, BELAIR SA","1 MARINA AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.000954582595334,138.61514972580198,No,,
379,CORO STREETS-61,CORO STREETS,MARION COURT,COROMANDEL VALLEY,MARION COURT,COROMANDEL VALLEY,MARION COURT|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"2 MARION COURT, COROMANDEL VALLEY SA","2 MARION COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.05248144571945,138.61781873907722,No,,
381,BLACKWOOD MAIN-266,BLACKWOOD MAIN,MARY STREET,EDEN HILLS,MARY STREET,EDEN HILLS,MARY STREET|EDEN HILLS,No,Accepted,Accepted,Active,"1 MARY STREET, EDEN HILLS SA","1 MARY STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.019026456539386,138.60490166829817,No,,
382,BLACKWOOD PARK-39,BLACKWOOD PARK,MASLIN STREET,CRAIGBURN FARM,MASLIN STREET,CRAIGBURN FARM,MASLIN STREET|CRAIGBURN FARM,No,Accepted,Accepted,Active,"1 MASLIN STREET, CRAIGBURN FARM SA","1 MASLIN STREET, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03989648956229,138.60876536920048,No,,
383,CORO STREETS-62,CORO STREETS,MATTHEWS COURT,COROMANDEL VALLEY,MATTHEWS COURT,COROMANDEL VALLEY,MATTHEWS COURT|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 MATTHEWS COURT, COROMANDEL VALLEY SA","1 MATTHEWS COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.05020805264712,138.6222150330045,No,,
385,BLACKWOOD MAIN-256,BLACKWOOD MAIN,McDONALD AVENUE,BLACKWOOD,McDONALD AVENUE,BLACKWOOD,MCDONALD AVENUE|BLACKWOOD,No,Accepted,Accepted,Active,"1 McDONALD AVENUE, BLACKWOOD SA","1 MCDONALD AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01228063399719,138.62069908184935,No,,
386,BLACKWOOD MAIN-257,BLACKWOOD MAIN,McGREGOR COURT,BELAIR,McGREGOR COURT,BELAIR,MCGREGOR COURT|BELAIR,No,Accepted,Accepted,Active,"1 McGREGOR COURT, BELAIR SA","1 MCGREGOR COURT, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.998602563565406,138.6256639019315,No,,
387,CORO STREETS-63,CORO STREETS,MCKENZIE STREET,COROMANDEL VALLEY,MCKENZIE STREET,COROMANDEL VALLEY,MCKENZIE STREET|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 MCKENZIE STREET, COROMANDEL VALLEY SA","1 MCKENZIE STREET, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04728750746232,138.6267041838319,No,,
388,BLACKWOOD MAIN-258,BLACKWOOD MAIN,McLAREN STREET,TORRENS PARK,McLAREN STREET,TORRENS PARK,MCLAREN STREET|TORRENS PARK,No,Accepted,Accepted,Active,"2 McLAREN STREET, TORRENS PARK SA","2 MCLAREN STREET, TORRENS PARK, SOUTH AUSTRALIA, 5062",No. 2,100,-34.98373425267611,138.61745709524968,No,,
389,CORO STREETS-64,CORO STREETS,MCNAMARA ROAD,COROMANDEL VALLEY,MCNAMARA ROAD,COROMANDEL VALLEY,MCNAMARA ROAD|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 MCNAMARA ROAD, COROMANDEL VALLEY SA","1 MCNAMARA ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.047381075909584,138.61942541249113,No,,
390,BLACKWOOD MAIN-267,BLACKWOOD MAIN,MEAD STREET,BELAIR,MEAD STREET,BELAIR,MEAD STREET|BELAIR,No,Accepted,Accepted,Active,"1 MEAD STREET, BELAIR SA","1 MEAD STREET, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00725462086215,138.60126655191056,No,,
391,BLACKWOOD MAIN-268,BLACKWOOD MAIN,MEADOW AVENUE,HAWTHORNDENE,MEADOW AVENUE,HAWTHORNDENE,MEADOW AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Active,"2 MEADOW AVENUE, HAWTHORNDENE SA","2 MEADOW AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 2,100,-35.018597037847925,138.6381919343186,No,,
392,CORO STREETS-65,CORO STREETS,MEADOWVALE ROAD,COROMANDEL VALLEY,MEADOWVALE ROAD,COROMANDEL VALLEY,MEADOWVALE ROAD|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"2 MEADOWVALE ROAD, COROMANDEL VALLEY SA","2 MEADOWVALE ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.0411721156751,138.62802303643272,No,,
394,BLACKWOOD MAIN-270,BLACKWOOD MAIN,MELTON STREET,BLACKWOOD,MELTON STREET,BLACKWOOD,MELTON STREET|BLACKWOOD,No,Accepted,Accepted,Active,"1 MELTON STREET, BLACKWOOD SA","1 MELTON STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.020712467457976,138.61111027275916,No,,
396,BLACKWOOD MAIN-272,BLACKWOOD MAIN,MENURA AVENUE,GLENALTA,MENURA AVENUE,GLENALTA,MENURA AVENUE|GLENALTA,No,Accepted,Accepted,Active,"1 MENURA AVENUE, GLENALTA SA","1 MENURA AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.011866513569,138.6314482464177,No,,
397,BLACKWOOD MAIN-273,BLACKWOOD MAIN,MERTON ROAD,BLACKWOOD,MERTON ROAD,BLACKWOOD,MERTON ROAD|BLACKWOOD,No,Accepted,Accepted,Active,"2 MERTON ROAD, BLACKWOOD SA","2 MERTON ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 2,100,-35.02621130365924,138.62189448102356,No,,
399,CORO STREETS-67,CORO STREETS,MICHAEL STREET,COROMANDEL VALLEY,MICHAEL STREET,COROMANDEL VALLEY,MICHAEL STREET|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 MICHAEL STREET, COROMANDEL VALLEY SA","1 MICHAEL STREET, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.053740528361544,138.61430280683348,No,,
400,BLACKWOOD MAIN-274,BLACKWOOD MAIN,MILGAR ROAD,EDEN HILLS,MILGAR ROAD,EDEN HILLS,MILGAR ROAD|EDEN HILLS,No,Accepted,Accepted,Active,"1 MILGAR ROAD, EDEN HILLS SA","1 MILGAR ROAD, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02261603391079,138.5865562044834,No,,
401,BLACKWOOD MAIN-275,BLACKWOOD MAIN,MILL TERRACE,EDEN HILLS,MILL TERRACE,EDEN HILLS,MILL TERRACE|EDEN HILLS,No,Accepted,Accepted,Active,"2 MILL TERRACE, EDEN HILLS SA","2 MILL TERRACE, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 2,100,-35.01524582876422,138.57729701960002,No,,
402,BLACKWOOD MAIN-276,BLACKWOOD MAIN,MILLER TERRACE,BLACKWOOD,MILLER TERRACE,BLACKWOOD,MILLER TERRACE|BLACKWOOD,No,Accepted,Accepted,Active,"1 MILLER TERRACE, BLACKWOOD SA","1 MILLER TERRACE, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01346642728516,138.61984148967395,No,,
403,BLACKWOOD MAIN-277,BLACKWOOD MAIN,MIMOSA AVENUE,BLACKWOOD,MIMOSA AVENUE,BLACKWOOD,MIMOSA AVENUE|BLACKWOOD,No,Accepted,Accepted,Active,"1 MIMOSA AVENUE, BLACKWOOD SA","1 MIMOSA AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.03122184064424,138.6177239254225,No,,
404,BLACKWOOD MAIN-278,BLACKWOOD MAIN,MINER AVENUE,GLENALTA,MINER AVENUE,GLENALTA,MINER AVENUE|GLENALTA,No,Accepted,Accepted,Active,"1 MINER AVENUE, GLENALTA SA","1 MINER AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.016131171277614,138.62680059846767,No,,
405,BLACKWOOD MAIN-279,BLACKWOOD MAIN,MINNOW DRIVE,GLENALTA,MINNOW DRIVE,GLENALTA,MINNOW DRIVE|GLENALTA,No,Accepted,Accepted,Active,"1 MINNOW DRIVE, GLENALTA SA","1 MINNOW DRIVE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.0167132168279,138.62377278755338,No,,
406,BLACKWOOD MAIN-280,BLACKWOOD MAIN,MIRANDA STREET,EDEN HILLS,MIRANDA STREET,EDEN HILLS,MIRANDA STREET|EDEN HILLS,No,Accepted,Accepted,Active,"1 MIRANDA STREET, EDEN HILLS SA","1 MIRANDA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02161221880068,138.60326386469745,No,,
408,CORO STREETS-68,CORO STREETS,MONACO CIRCUIT,ABERFOYLE PARK,MONACO CIRCUIT,ABERFOYLE PARK,MONACO CIRCUIT|ABERFOYLE PARK,No,Accepted,Accepted,Active,"1 MONACO CIRCUIT, ABERFOYLE PARK SA","1 MONACO CIRCUIT, ABERFOYLE PARK, SOUTH AUSTRALIA, 5159",No. 1,100,-35.06176464531829,138.615864119118,No,,
410,BLACKWOOD MAIN-283,BLACKWOOD MAIN,MONASH AVENUE,BELAIR,MONASH AVENUE,BELAIR,MONASH AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 MONASH AVENUE, BELAIR SA","1 MONASH AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00419354511968,138.61864502317906,No,,
411,BLACKWOOD MAIN-284,BLACKWOOD MAIN,MONOMEETH COURT,HAWTHORNDENE,MONOMEETH COURT,HAWTHORNDENE,MONOMEETH COURT|HAWTHORNDENE,No,Accepted,Accepted,Active,"2 MONOMEETH COURT, HAWTHORNDENE SA","2 MONOMEETH COURT, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 2,100,-35.02553373290707,138.63445328782393,No,,
413,BLACKWOOD MAIN-286,BLACKWOOD MAIN,MOUNTAIN ROAD,EDEN HILLS,MOUNTAIN ROAD,EDEN HILLS,MOUNTAIN ROAD|EDEN HILLS,No,Accepted,Accepted,Active,"1 MOUNTAIN ROAD, EDEN HILLS SA","1 MOUNTAIN ROAD, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02084944028001,138.6056550188194,No,,
